	time	heart	temp	temp1	temenv	Red_AC	IR_AC	body	step	bodymove	breathe	movetypr	movepower	Red_DC	IR_DC	sig	overall	energy	test1	test2	test3	test4	if_body_abnormal
35	2020/10/11 9:22:35	97	36.56	36.47	78	48	26	2	0	255	28	2	13	46	58	1	100	0.06	100	36.56	27.43	1	0
36	2020-10-11 09:22:38	2																					1
37	2020/10/11 9:22:38	98	36.56	36.46	78	48	26	1	0	255	28	2	23	45	58	1	100	0.06	100	36.56	27.45	1	0
38	2020-10-11 09:22:41	2																					1
39	2020/10/11 9:22:41	98	36.56	36.46	78	48	26	1	0	255	29	2	33	56	66	1	100	0.06	100	36.56	27.47	1	0
40	2020-10-11 09:22:44	2																					1
41	2020/10/11 9:22:44	97	36.55	36.46	79	48	26	2	0	255	29	2	31	40	54	1	100	0.06	100	36.56	27.72	1	0
42	2020-10-11 09:22:47	2																					1
43	2020/10/11 9:22:47	97	36.55	36.46	79	48	26	2	0	255	29	2	33	48	59	1	100	0.06	100	36.56	27.84	1	0
44	2020/10/11 9:22:50	95	36.54	36.46	79	48	26	1	0	255	28	2	39	47	58	1	100	0.06	100	36.56	27.9	1	0
45	2020-10-11 09:22:53	6	93	100	2	0	79	53	212	103	2	24	3	57	1	100]}							1
46	2020/10/11 9:22:53	93	36.54	36.46	79	48	26	2	0	53	28	2	24	44	57	1	100	0.06	100	36.56	27.93	1	0
47	2020-10-11 09:22:56	2																					1
48	2020/10/11 9:22:56	92	36.53	36.46	79	47	27	2	0	255	27	2	20	51	61	1	100	0.06	100	36.56	27.95	1	0
49	2020/10/11 9:22:59	94	36.53	36.45	79	47	27	2	0	255	27	2	27	36	51	1	100	0.06	100	36.56	27.96	1	0
50	2020-10-11 09:23:02	2																					1
51	2020/10/11 9:23:02	96	36.52	36.45	79	49	30	2	0	144	26	2	18	29	46	1	100	0.06	100	36.56	27.96	1	0
52	2020-10-11 09:23:05	2																					1
53	2020/10/11 9:23:05	96	36.52	36.45	79	49	30	1	0	255	25	2	32	72	76	1	100	0.06	100	36.56	27.96	1	0
54	2020/10/11 9:23:08	95	36.52	36.45	79	49	30	2	0	136	24	2	21	80	82	1	100	0.06	100	36.56	27.96	1	0
55	2020/10/11 9:23:11	94	36.51	36.45	79	49	37	2	0	1	23	2	13	84	85	1	100	0.06	100	36.56	27.96	1	0
56	2020/10/11 9:23:14	94	36.51	36.45	80	49	40	2	0	134	23	2	10	75	79	1	100	0.06	100	36.63	28.03	1	0
57	2020-10-11 09:23:17	2																					1
58	2020/10/11 9:23:17	93	36.5	36.45	80	55	45	2	0	255	22	2	13	69	75	1	100	0.06	100	36.63	28.06	1	0
59	2020/10/11 9:23:20	92	36.5	36.44	80	75	49	2	0	1	21	1	8	66	73	1	100	0.02	100	36.63	28.08	1	0
60	2020/10/11 9:23:23	91	36.5	36.44	80	83	54	2	0	68	20	1	6	65	74	1	100	0.02	100	36.63	28.08	1	0
61	2020/10/11 9:23:26	91	36.49	36.44	80	103	58	2	0	123	20	1	6	66	74	1	100	0.02	100	36.63	28.09	1	0
62	2020/10/11 9:23:29	96	36.49	36.44	81	100	51	2	0	1	20	1	4	64	73	1	100	0.03	100	36.75	28	1	0
63	2020/10/11 9:23:32	95	36.48	36.44	81	99	53	2	0	56	22	1	3	62	72	1	100	0.03	100	36.75	27.96	1	0
64	2020/10/11 9:23:35	98	36.48	36.43	81	91	54	2	0	1	25	1	2	63	72	1	100	0.03	100	36.75	27.94	1	0
65	2020/10/11 9:23:38	105	36.47	36.43	81	70	40	2	0	1	28	1	1	62	71	1	100	0.03	100	36.75	27.93	1	0
66	2020/10/11 9:23:41	111	36.46	36.43	81	60	23	2	0	1	31	1	1	62	71	1	100	0.04	100	36.75	27.92	1	1
67	2020/10/11 9:23:44	113	36.46	36.43	81	53	20	2	0	7	32	1	1	61	71	1	100	0.04	100	36.88	27.92	1	1
68	2020-10-11 09:23:47	2																					1
69	2020/10/11 9:23:47	113	36.45	36.43	81	49	26	1	0	102	33	1	3	60	70	1	100	0.04	100	36.88	27.92	1	1
70	2020-10-11 09:23:50	0																					1
71	2020/10/11 9:23:50	113	36.45	36.42	81	49	27	2	0	255	33	2	18	68	75	1	100	0.07	100	36.88	27.92	1	1
72	2020/10/11 9:23:56	107	36.44	36.42	81	49	29	2	0	129	35	2	11	66	75	4	100	0.07	100	36.88	27.92	1	1
73	2020/10/11 9:23:59	105	36.44	36.42	82	49	36	2	0	1	36	1	7	65	75	4	100	0.03	100	36.94	27.7	1	1
74	2020/10/11 9:24:02	105	36.43	36.42	82	49	40	2	0	84	37	1	5	62	73	4	100	0.03	100	36.94	27.59	1	1
75	2020/10/11 9:24:05	106	36.43	36.42	82	61	37	2	0	39	36	1	4	61	72	4	100	0.03	100	36.94	27.53	1	1
76	2020/10/11 9:24:08	112	36.42	36.42	82	80	38	2	0	30	36	1	3	60	72	4	100	0.04	99	36.94	27.51	1	1
77	2020/10/11 9:24:11	120	36.42	36.41	82	70	51	2	0	1	38	1	2	60	72	4	100	0.05	99	36.94	27.49	1	1
78	2020/10/11 9:24:14	128	36.41	36.41	82	51	33	2	0	1	39	1	1	60	71	4	100	0.05	98	37	27.49	1	1
79	2020/10/11 9:24:17	132	36.41	36.41	82	31	23	2	0	1	40	1	1	59	71	4	100	0.05	98	37	27.48	1	1
80	2020/10/11 9:24:20	135	36.4	36.41	82	27	18	2	0	1	41	1	1	59	71	4	100	0.06	97	37	27.48	1	1
81	2020/10/11 9:24:23	134	36.4	36.41	82	29	23	2	0	74	41	1	2	63	73	4	100	0.06	96	37	27.48	1	1
82	2020/10/11 9:24:26	133	36.39	36.4	82	38	26	2	0	12	41	1	1	61	72	4	100	0.06	95	37	27.48	1	1
83	2020-10-11 09:24:29	2																					1
84	2020/10/11 9:24:29	133	36.39	36.4	82	38	26	1	0	175	42	1	5	60	71	4	100	0.06	95	37	27.48	1	1
